"name","type","lat","lon","color"
"Jungametta (u/c)","metro",17.335318,78.468389,""
"Charminar (u/c)","metro",17.361925,78.479991,""
"Shamserganj (u/c)","metro",17.34081,78.468387,""
"Shah Ali Banda (u/c)","metro",17.350774,78.47235,""
"Falaknuma Terminal (u/c)","metro",17.331714,78.469998,""
"Salar Jung Museum (u/c)","metro",17.371782,78.482261,""
"Begumpet","metro",17.437566,78.456934,"blue"
"S. R. Nagar","metro",17.441707,78.441608,"red"
"HITEC City","metro",17.449005,78.383138,"blue"
"Nagole","metro",17.390768,78.558822,"blue"
"Ameerpet (Red Line)","metro",17.435721,78.444793,"red"
"Yusufguda","metro",17.435113,78.427322,"blue"
"Ameerpet (Blue Line)","metro",17.435286,78.444783,"blue"
"Jubilee Hills Checkpost","metro",17.428197,78.413714,"blue"
"Kukatpally","metro",17.485088,78.411638,"red"
"Uppal","metro",17.399938,78.560159,"blue"
"Stadium","metro",17.4074,78.554253,"blue"
"NGRI","metro",17.414826,78.546335,"blue"
"Habsiguda","metro",17.42018,78.540548,"blue"
"Tarnaka","metro",17.428296,78.528441,"blue"
"Mettuguda","metro",17.435521,78.519575,"blue"
"Secunderabad East","metro",17.435718,78.505462,"blue"
"Parade Grounds (Blue Line)","metro",17.443194,78.497469,"blue"
"Paradise","metro",17.443467,78.486244,"blue"
"Rasoolpura","metro",17.443612,78.476405,"blue"
"Prakash Nagar","metro",17.444889,78.465875,"blue"
"Madhura Nagar","metro",17.436965,78.439099,"blue"
"Road No 5 Jubilee Hills","metro",17.430049,78.423207,"blue"
"Peddamma Gudi","metro",17.430651,78.408372,"blue"
"Raidurg","metro",17.44218,78.377182,"blue"
"Parade Grounds (Green Line)","metro",17.444478,78.497584,"green"
"JBS","metro",17.448818,78.496484,"green"
"RTC Cross Roads","metro",17.407032,78.496802,"green"
"Mahatma Gandhi Bus Station (Red Line)","metro",17.379857,78.486202,"red"
"Mahatma Gandhi Bus Station (Green Line)","metro",17.379695,78.485863,"green"
"Malakpet","metro",17.377189,78.493936,"red"
"Musarambagh","metro",17.371073,78.511948,"red"
"Sultan Bazar","metro",17.384447,78.484024,"green"
"Narayanaguda","metro",17.394366,78.489958,"green"
"Chikkadpally","metro",17.400363,78.494896,"green"
"Musheerabad","metro",17.417874,78.499505,"green"
"Gandhi Hospital","metro",17.425515,78.501956,"green"
"Secunderabad West","metro",17.433803,78.499518,"green"
"Madhapur","metro",17.437264,78.400426,"blue"
"New Market","metro",17.373427,78.503178,"red"
"JNTU College","metro",17.498656,78.388866,"red"
"KPHB Colony","metro",17.493803,78.401765,"red"
"Miyapur","metro",17.496539,78.373025,"red"
"Victoria Memorial","metro",17.361854,78.54393,"red"
"Dilsukh Nagar","metro",17.368552,78.525717,"red"
"L. B. Nagar Metro Station","metro",17.349829,78.547914,"red"
"Osmania Medical College","metro",17.382347,78.481133,"red"
"Nampally","metro",17.392399,78.470148,"red"
"Moosapet","metro",17.47197,78.426036,"red"
"Lakdi-ka-pul","metro",17.403906,78.465025,"red"
"Khairatabad","metro",17.411532,78.460846,"red"
"Irrum Manzil","metro",17.420556,78.456101,"red"
"Gandhi Bhavan","metro",17.386107,78.4731,"red"
"ESI Hospital","metro",17.447404,78.43835,"red"
"Erragadda","metro",17.457328,78.433462,"red"
"Chaitanyapuri","metro",17.368286,78.535941,"red"
"Bharat Nagar","metro",17.46416,78.430005,"red"
"Balanagar","metro",17.476822,78.421965,"red"
"Assembly","metro",17.398109,78.470818,"red"
"Panjagutta","metro",17.428631,78.451132,"red"
"miyapur metro","metro",17.496382,78.372749,"red"
"Kukatpally Metro","metro",17.485205,78.411579,"red"
"Balanagar Metro","metro",17.476869,78.421908,"red"
"Tarnaka Bus Stop","bus",17.426317,78.531326,""
"Afzalgunj","bus",17.373007,78.476656,""
"KPHB 3rd Phase Bus Stop","bus",17.487951,78.395392,""
"TGSRTC Bus Station , Medchal","bus",17.634199,78.485753,""
"Bus Stop","bus",17.39868,78.481781,""
"Banjara Hills Rd12","bus",17.414529,78.424731,""
"Sangareddy Old Bus Stand","bus",17.626898,78.08607,""
"GPR Quarters","bus",17.440024,78.355767,""
"KPHB","bus",17.49396,78.400841,""
"Secunderabad","bus",17.435954,78.50005,""
"TGSRTC  Bus Stand , Shadnagar","bus",17.067512,78.204774,""
"TGSRTC Bus Station , Kacheguda","bus",17.390295,78.499034,""
"Golconda Fort","bus",17.385011,78.403384,""
"TGSRTC Bus Station , Midhani","bus",17.340029,78.503388,""
"TGSRTC Bus Station , Patancheru","bus",17.528742,78.264136,""
"TSRTC BUS BHAVAN","bus",17.406679,78.498622,""
